2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,319,EAV Clark PPVC,0,0,0,0,0,0,0,0,0
1,TAS,195,EAV Franklin PPVC,0,0,0,0,0,0,0,0,0
1,TAS,196,EAV Lyons PPVC,0,0,0,0,0,0,0,0,0
1,TAS,193,Edith Creek,40,25.32,118,74.68,158,98.14,3,1.86,161
1,TAS,196,Elizabeth Town,72,33.49,143,66.51,215,97.29,6,2.71,221
1,TAS,193,Elliott,106,27.53,279,72.47,385,97.72,9,2.28,394
1,TAS,196,Epping Forest,34,22.97,114,77.03,148,99.33,1,0.67,149
1,TAS,196,Evandale,262,34.52,497,65.48,759,98.19,14,1.81,773
1,TAS,192,Exeter,372,31.88,795,68.12,1167,98.81,14,1.19,1181
1,TAS,319,Fern Tree,352,82.82,73,17.18,425,99.53,2,0.47,427
1,TAS,196,Fingal,56,20.82,213,79.18,269,97.82,6,2.18,275
1,TAS,193,Forest,63,17.9,289,82.1,352,99.44,2,0.56,354
1,TAS,193,Forth,192,38.02,313,61.98,505,99.21,4,0.79,509
1,TAS,195,Franklin Township,368,55.67,293,44.33,661,98.95,7,1.05,668
1,TAS,196,Gagebrook,244,25.85,700,74.15,944,97.32,26,2.68,970
1,TAS,193,Gawler,96,21.57,349,78.43,445,99.11,4,0.89,449
1,TAS,195,Geeveston,434,41.89,602,58.11,1036,99.71,3,0.29,1039
1,TAS,195,Geilston Bay,756,57.53,558,42.47,1314,99.17,11,0.83,1325
1,TAS,192,George Town,459,29.9,1076,70.1,1535,98.02,31,1.98,1566
1,TAS,192,George Town South,421,37.69,696,62.31,1117,99.02,11,0.98,1128
1,TAS,192,Gladstone,49,25,147,75,196,97.51,5,2.49,201
1,TAS,195,Glen Huon,150,45.87,177,54.13,327,99.7,1,0.3,328
1,TAS,192,Glengarry,78,28.26,198,71.74,276,98.57,4,1.43,280
1,TAS,196,Glenora,81,27.27,216,72.73,297,99,3,1,300
1,TAS,319,Glenorchy,681,46.84,773,53.16,1454,98.24,26,1.76,1480
1,TAS,319,Glenorchy Central,484,43.68,624,56.32,1108,98.31,19,1.69,1127
1,TAS,319,Glenorchy CLARK PPVC,3488,40.88,5045,59.12,8533,98.84,100,1.16,8633
1,TAS,196,Glenorchy LYONS PPVC,663,28.88,1633,71.12,2296,98.84,27,1.16,2323
1,TAS,319,Glenorchy South,168,61.09,107,38.91,275,94.5,16,5.5,291
1,TAS,319,Glenorchy West,703,48.48,747,51.52,1450,98.37,24,1.63,1474
1,TAS,196,Granton,222,32.13,469,67.87,691,98.43,11,1.57,702
1,TAS,193,Grassy,27,24.11,85,75.89,112,98.25,2,1.75,114
1,TAS,192,Gravelly Beach,225,40.54,330,59.46,555,98.58,8,1.42,563
1,TAS,196,Hadspen,348,30.42,796,69.58,1144,99.13,10,0.87,1154
1,TAS,196,Hagley,84,27.81,218,72.19,302,98.05,6,1.95,308
1,TAS,193,Havenview,134,31.6,290,68.4,424,98.38,7,1.62,431
1,TAS,193,Heybridge,76,26.57,210,73.43,286,98.62,4,1.38,290
1,TAS,193,Highclere,22,17.19,106,82.81,128,98.46,2,1.54,130
1,TAS,192,Hillwood,136,35.98,242,64.02,378,99.21,3,0.79,381
1,TAS,319,Hobart,242,80.13,60,19.87,302,98.37,5,1.63,307
1,TAS,319,Hobart City (Clark),790,72.15,305,27.85,1095,99.46,6,0.54,1101
1,TAS,195,Hobart City (Franklin),208,64.8,113,35.2,321,99.38,2,0.62,323
1,TAS,319,Hobart CLARK PPVC,4695,66.96,2317,33.04,7012,99.29,50,0.71,7062
1,TAS,195,Hobart FRANKLIN PPVC,1370,58.05,990,41.95,2360,99.03,23,0.97,2383
1,TAS,196,Hobart LYONS PPVC,374,48.01,405,51.99,779,99.49,4,0.51,783
1,TAS,195,Howden,145,58,105,42,250,99.21,2,0.79,252
1,TAS,195,Howrah,887,52.8,793,47.2,1680,98.3,29,1.7,1709
1,TAS,195,Howrah East,227,54.83,187,45.17,414,99.04,4,0.96,418
1,TAS,195,Howrah South,910,55.05,743,44.95,1653,99.16,14,0.84,1667
1,TAS,195,Huonville,635,41.56,893,58.44,1528,99.09,14,0.91,1542
1,TAS,192,Invermay,347,46.02,407,53.98,754,98.43,12,1.57,766
1,TAS,192,Invermay South,431,47.41,478,52.59,909,98.8,11,1.2,920
1,TAS,193,Irishtown,35,12.96,235,87.04,270,99.26,2,0.74,272
1,TAS,195,Judbury,112,36.96,191,63.04,303,98.7,4,1.3,307
1,TAS,192,Karoola,82,27.42,217,72.58,299,99.34,2,0.66,301
