2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,240,Beaconsfield,872,70.27,369,29.73,1241,98.57,18,1.43,1259
1,WA,240,Beaconsfield South,864,60.89,555,39.11,1419,98.54,21,1.46,1440
1,WA,317,Beckenham,558,40.32,826,59.68,1384,99.21,11,0.79,1395
1,WA,317,Beckenham BURT PPVC,1071,29.01,2621,70.99,3692,99.35,24,0.65,3716
1,WA,247,Beckenham SWAN PPVC,1045,32.16,2204,67.84,3249,99.42,19,0.58,3268
1,WA,248,Beckenham TANGNEY PPVC,340,34.45,647,65.55,987,99.2,8,0.8,995
1,WA,245,Bedford,537,53.38,469,46.62,1006,98.92,11,1.08,1017
1,WA,236,Bedfordale,145,24.7,442,75.3,587,98.99,6,1.01,593
1,WA,237,Beechboro,405,38.5,647,61.5,1052,98.69,14,1.31,1066
1,WA,237,Beechboro East (Cowan),369,33.51,732,66.49,1101,98.39,18,1.61,1119
1,WA,305,Beechboro East (Hasluck),175,38.89,275,61.11,450,98.04,9,1.96,459
1,WA,237,Beechboro West,266,41.37,377,58.63,643,98.62,9,1.38,652
1,WA,240,Beeliar,748,44.63,928,55.37,1676,98.65,23,1.35,1699
1,WA,240,Beeliar West,623,35.28,1143,64.72,1766,98.66,24,1.34,1790
1,WA,242,Beldon,613,40.01,919,59.99,1532,98.58,22,1.42,1554
1,WA,305,Bellevue,310,38.7,491,61.3,801,99.5,4,0.5,805
1,WA,247,Belmont,453,46.04,531,53.96,984,97.62,24,2.38,1008
1,WA,247,Belmont East,741,46.37,857,53.63,1598,98.52,24,1.48,1622
1,WA,245,Belmont PERTH PPVC,422,44.42,528,55.58,950,99.06,9,0.94,959
1,WA,247,Belmont South,697,44.94,854,55.06,1551,98.79,19,1.21,1570
1,WA,247,Belmont SWAN PPVC,4035,36.06,7155,63.94,11190,99.66,38,0.34,11228
1,WA,243,Bencubbin,20,18.02,91,81.98,111,99.11,1,0.89,112
1,WA,247,Bentley,386,58.48,274,41.52,660,99.7,2,0.3,662
1,WA,247,Bentley PPVC,2162,43.6,2797,56.4,4959,99.42,29,0.58,4988
1,WA,247,Bentley South,508,52.21,465,47.79,973,99.29,7,0.71,980
1,WA,235,Bertram,678,38.57,1080,61.43,1758,98.76,22,1.24,1780
1,WA,243,Beverley,149,20.58,575,79.42,724,99.72,2,0.28,726
1,WA,240,Bibra Lake,798,46.56,916,53.44,1714,99.25,13,0.75,1727
1,WA,248,Bicton,905,54.62,752,45.38,1657,99.04,16,0.96,1673
1,WA,248,Bicton North,277,52.56,250,47.44,527,98.69,7,1.31,534
1,WA,312,Bilingurr,245,53.38,214,46.62,459,99.57,2,0.43,461
1,WA,312,Bindoon,185,18.41,820,81.59,1005,99.7,3,0.3,1008
1,WA,239,Binningup,140,28.51,351,71.49,491,98.4,8,1.6,499
1,WA,312,Bluff Point,685,67.42,331,32.58,1016,98.35,17,1.65,1033
1,WA,312,Bluff Point South,116,30.29,267,69.71,383,98.97,4,1.03,387
1,WA,243,Boddington,109,17.17,526,82.83,635,98.6,9,1.4,644
1,WA,248,Booragoon,895,51.26,851,48.74,1746,99.2,14,0.8,1760
1,WA,243,Boulder,246,20.23,970,79.77,1216,99.43,7,0.57,1223
1,WA,239,Boyanup,183,22.54,629,77.46,812,99.02,8,0.98,820
1,WA,243,Boyup Brook,120,15.75,642,84.25,762,99.48,4,0.52,766
1,WA,305,Brabham,1038,42.95,1379,57.05,2417,99.1,22,0.9,2439
1,WA,243,Bremer Bay,54,17.03,263,82.97,317,98.75,4,1.25,321
1,WA,248,Brentwood,897,51.79,835,48.21,1732,99.2,14,0.8,1746
1,WA,243,Bridgetown,535,34.23,1028,65.77,1563,98.92,17,1.08,1580
1,WA,317,Brookdale,489,35.15,902,64.85,1391,99.07,13,0.93,1404
1,WA,243,Brookton,55,13.58,350,86.42,405,99.26,3,0.74,408
1,WA,312,Broome,540,56.31,419,43.69,959,98.46,15,1.54,974
1,WA,312,Broome PPVC,2092,50.24,2072,49.76,4164,99.28,30,0.72,4194
1,WA,243,Broomehill,37,17.29,177,82.71,214,98.17,4,1.83,218
1,WA,243,Bruce Rock,80,20.73,306,79.27,386,99.48,2,0.52,388
1,WA,239,Brunswick,105,17.89,482,82.11,587,98.99,6,1.01,593
1,WA,248,Bull Creek,611,45.8,723,54.2,1334,99.18,11,0.82,1345
1,WA,248,Bull Creek East,481,47.3,536,52.7,1017,99.12,9,0.88,1026
1,WA,312,Bullsbrook,353,14.79,2033,85.21,2386,99.05,23,0.95,2409
1,WA,239,Bunbury,603,46.14,704,53.86,1307,98.57,19,1.43,1326
1,WA,239,Bunbury Central,399,36.67,689,63.33,1088,98.73,14,1.27,1102
1,WA,239,Bunbury East,337,34.42,642,65.58,979,98.49,15,1.51,994
1,WA,239,Bunbury PPVC,3721,24.42,11515,75.58,15236,99.34,101,0.66,15337
1,WA,239,Bunbury South,475,38.15,770,61.85,1245,99.2,10,0.8,1255
