2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,NT,306,Remote Mobile Team 7,316,52.15,290,47.85,606,99.84,1,0.16,607
1,NT,306,Remote Mobile Team 8,633,62.24,384,37.76,1017,99.71,3,0.29,1020
1,NT,306,Remote Mobile Team 9,427,59.14,295,40.86,722,98.9,8,1.1,730
1,NT,307,Rosebery,233,25.98,664,74.02,897,99.78,2,0.22,899
1,NT,306,Sadadeen,297,49.58,302,50.42,599,98.68,8,1.32,607
1,NT,307,Special Hospital Team 1,35,68.63,16,31.37,51,98.08,1,1.92,52
1,NT,306,Special Hospital Team 1,9,28.13,23,71.88,32,100,0,0,32
1,NT,307,Stuart Park,344,46.11,402,53.89,746,98.94,8,1.06,754
1,NT,306,Tennant Creek PPVC,537,50.42,528,49.58,1065,99.35,7,0.65,1072
1,NT,306,Tindal,94,36.15,166,63.85,260,100,0,0,260
1,NT,306,Wagait Beach,71,37.17,120,62.83,191,100,0,0,191
1,NT,307,Wanguri,539,39.46,827,60.54,1366,98.56,20,1.44,1386
1,NT,307,Woodroffe,159,32.92,324,67.08,483,98.57,7,1.43,490
