2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:22 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,225,Avondale Heights West,174,43.28,228,56.72,402,99.5,2,0.5,404
1,VIC,200,Axe Creek,210,42.6,283,57.4,493,98.8,6,1.2,499
1,VIC,200,Axedale,184,29.02,450,70.98,634,99.06,6,0.94,640
1,VIC,326,Bacchus Marsh,471,44.18,595,55.82,1066,98.61,15,1.39,1081
1,VIC,326,Bacchus Marsh PPVC,2738,32.03,5811,67.97,8549,99,86,1,8635
1,VIC,204,Badger Creek,422,49.41,432,50.59,854,98.96,9,1.04,863
1,VIC,213,Bairnsdale,316,37.31,531,62.69,847,98.95,9,1.05,856
1,VIC,213,Bairnsdale PPVC,3436,24.78,10428,75.22,13864,99.24,106,0.76,13970
1,VIC,213,Bairnsdale West,389,35.49,707,64.51,1096,98.83,13,1.17,1109
1,VIC,322,Balaclava,940,76.36,291,23.64,1231,98.88,14,1.12,1245
1,VIC,326,Ballan,499,38.53,796,61.47,1295,98.85,15,1.15,1310
1,VIC,198,Ballarat,772,62.76,458,37.24,1230,98.64,17,1.36,1247
1,VIC,198,Ballarat BALLARAT PPVC,10684,35.93,19055,64.07,29739,99.09,272,0.91,30011
1,VIC,198,Ballarat East,659,60.46,431,39.54,1090,98.46,17,1.54,1107
1,VIC,198,Ballarat North,854,54.95,700,45.05,1554,99.17,13,0.83,1567
1,VIC,233,Ballarat WANNON PPVC,190,29.14,462,70.86,652,98.94,7,1.06,659
1,VIC,233,Balmoral,54,29.51,129,70.49,183,99.46,1,0.54,184
1,VIC,211,Balnarring,624,65.62,327,34.38,951,99.17,8,0.83,959
1,VIC,221,Balwyn,899,54.35,755,45.65,1654,99.1,15,0.9,1669
1,VIC,221,Balwyn North,1191,51.87,1105,48.13,2296,99.14,20,0.86,2316
1,VIC,221,Balwyn North Central,922,54.3,776,45.7,1698,99.07,16,0.93,1714
1,VIC,324,Bamawm,19,10.56,161,89.44,180,100,0,0,180
1,VIC,328,Bannockburn,557,34.6,1053,65.4,1610,98.96,17,1.04,1627
1,VIC,328,Bannockburn North,271,34.17,522,65.83,793,99.25,6,0.75,799
1,VIC,218,Baranduda,338,40.05,506,59.95,844,99.29,6,0.71,850
1,VIC,218,Barnawartha,131,27.46,346,72.54,477,99.17,4,0.83,481
1,VIC,328,Barwon CORANGAMITE PPVC,2371,38.74,3749,61.26,6120,98.97,64,1.03,6184
1,VIC,208,Barwon CORIO PPVC,9773,46.92,11055,53.08,20828,99.15,178,0.85,21006
1,VIC,328,Barwon Heads,884,66.02,455,33.98,1339,99.26,10,0.74,1349
1,VIC,233,Barwon WANNON PPVC,190,49.48,194,50.52,384,98.71,5,1.29,389
1,VIC,323,Bass,89,27.47,235,72.53,324,99.39,2,0.61,326
1,VIC,210,Baxter (Dunkley),195,33.85,381,66.15,576,98.97,6,1.03,582
1,VIC,211,Baxter (Flinders),326,41.96,451,58.04,777,98.85,9,1.15,786
1,VIC,223,Bayles,147,25,441,75,588,99.66,2,0.34,590
1,VIC,197,Bayswater,1016,50.5,996,49.5,2012,99.06,19,0.94,2031
1,VIC,209,Bayswater North,772,42.16,1059,57.84,1831,99.35,12,0.65,1843
1,VIC,197,Bayswater South,339,50.67,330,49.33,669,99.11,6,0.89,675
1,VIC,197,Bayswater West,558,45.15,678,54.85,1236,97.86,27,2.14,1263
1,VIC,328,Beacon Point,434,49.6,441,50.4,875,98.31,15,1.69,890
1,VIC,223,Beaconsfield,678,41.12,971,58.88,1649,98.57,24,1.43,1673
1,VIC,223,Beaconsfield Upper,419,39.2,650,60.8,1069,99.63,4,0.37,1073
1,VIC,224,Bealiba,27,20.77,103,79.23,130,99.24,1,0.76,131
1,VIC,233,Beaufort,284,26.25,798,73.75,1082,99.18,9,0.82,1091
1,VIC,214,Beaumaris,657,56.88,498,43.12,1155,98.72,15,1.28,1170
1,VIC,214,Beaumaris Central,856,54.52,714,45.48,1570,99.24,12,0.76,1582
1,VIC,214,Beaumaris North,660,61.51,413,38.49,1073,99.44,6,0.56,1079
1,VIC,209,Bedford Park,495,59.93,331,40.07,826,98.69,11,1.31,837
1,VIC,233,Beeac,55,22.09,194,77.91,249,98.81,3,1.19,252
1,VIC,218,Beechworth,805,60.53,525,39.47,1330,99.18,11,0.82,1341
1,VIC,204,Belgrave,614,71.23,248,28.77,862,99.08,8,0.92,870
1,VIC,204,Belgrave South,959,52.61,864,47.39,1823,99.02,18,0.98,1841
1,VIC,320,Bell,1368,82.06,299,17.94,1667,99.05,16,0.95,1683
1,VIC,208,Bell Park,303,39.56,463,60.44,766,98.71,10,1.29,776
1,VIC,208,Bell Park South,237,48.87,248,51.13,485,98.98,5,1.02,490
1,VIC,208,Bell Post Hill,472,45.96,555,54.04,1027,98.56,15,1.44,1042
1,VIC,328,Bellbrae,508,74.93,170,25.07,678,99.41,4,0.59,682
1,VIC,222,Bellbridge,970,46.08,1135,53.92,2105,97.86,46,2.14,2151
1,VIC,221,Bellevue,585,47.99,634,52.01,1219,98.94,13,1.06,1232
1,VIC,220,Bellfield,767,64.13,429,35.87,1196,99.25,9,0.75,1205
1,VIC,208,Belmont,675,66.05,347,33.95,1022,98.84,12,1.16,1034
1,VIC,208,Belmont North,1461,59.83,981,40.17,2442,98.99,25,1.01,2467
1,VIC,323,Bena,111,28.76,275,71.24,386,99.23,3,0.77,389
1,VIC,218,Benalla,563,33.2,1133,66.8,1696,99.01,17,0.99,1713
1,VIC,218,Benalla PPVC,1873,27.45,4950,72.55,6823,99.03,67,0.97,6890
1,VIC,200,Bendigo,230,46.46,265,53.54,495,99,5,1,500
1,VIC,200,Bendigo BENDIGO PPVC,6732,39.64,10251,60.36,16983,99.23,131,0.77,17114
1,VIC,200,Bendigo Central,762,52.3,695,47.7,1457,98.65,20,1.35,1477
1,VIC,200,Bendigo Central PPVC,3691,36,6563,64,10254,99,104,1,10358
1,VIC,200,Bendigo East,339,46.12,396,53.88,735,99.06,7,0.94,742
1,VIC,224,Bendigo MALLEE PPVC,88,27.24,235,72.76,323,99.69,1,0.31,324
1,VIC,200,Bendigo North,398,38.75,629,61.25,1027,98.18,19,1.82,1046
1,VIC,205,Bennettswood,659,51.4,623,48.6,1282,98.92,14,1.08,1296
1,VIC,214,Bentleigh,1137,62.4,685,37.6,1822,98.7,24,1.3,1846
1,VIC,214,Bentleigh Central (Goldstein),307,52.3,280,47.7,587,98.66,8,1.34,595
1,VIC,217,Bentleigh Central (Hotham),614,51.81,571,48.19,1185,98.91,13,1.09,1198
1,VIC,217,Bentleigh East,569,55.78,451,44.22,1020,98.27,18,1.73,1038
1,VIC,214,Bentleigh South (Goldstein),383,53.19,337,46.81,720,99.31,5,0.69,725
1,VIC,217,Bentleigh South (Hotham),501,52.79,448,47.21,949,98.75,12,1.25,961
