2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,180,Bordertown,232,16.87,1143,83.13,1375,99.06,13,0.94,1388
1,SA,325,Brahma Lodge,444,35.78,797,64.22,1241,98.96,13,1.04,1254
1,SA,188,Bridgewater,602,65.86,312,34.14,914,98.92,10,1.08,924
1,SA,188,Bridgewater PPVC,1889,46.11,2208,53.89,4097,99.27,30,0.73,4127
1,SA,182,Brighton,680,52.88,606,47.12,1286,99.08,12,0.92,1298
1,SA,182,Brighton BOOTHBY PPVC,5405,40.21,8036,59.79,13441,99.15,115,0.85,13556
1,SA,186,Brighton KINGSTON PPVC,0,0,0,0,0,0,0,0,0
1,SA,182,Brighton North,692,52.78,619,47.22,1311,98.87,15,1.13,1326
1,SA,182,Brighton South,664,55.85,525,44.15,1189,99.17,10,0.83,1199
1,SA,182,Brighton West,421,47.57,464,52.43,885,99.44,5,0.56,890
1,SA,183,Brinkworth,38,17.84,175,82.16,213,98.61,3,1.39,216
1,SA,179,Broadview,858,45.13,1043,54.87,1901,99.27,14,0.73,1915
1,SA,179,Brompton,1311,58.63,925,41.37,2236,98.85,26,1.15,2262
1,SA,179,Brooklyn Park (Adelaide),172,43.22,226,56.78,398,98.03,8,1.97,406
1,SA,185,Brooklyn Park (Hindmarsh),444,43.36,580,56.64,1024,98.75,13,1.25,1037
1,SA,185,Brooklyn Park South,476,44.95,583,55.05,1059,98.7,14,1.3,1073
1,SA,188,Brukunga,250,43.18,329,56.82,579,99.14,5,0.86,584
1,SA,190,Burnside,913,52.41,829,47.59,1742,99.09,16,0.91,1758
1,SA,183,Burra,158,26.33,442,73.67,600,99.5,3,0.5,603
1,SA,325,Burton,575,29.93,1346,70.07,1921,98.56,28,1.44,1949
1,SA,183,Bute,30,13.33,195,86.67,225,100,0,0,225
1,SA,180,Cadell,19,12.42,134,87.58,153,99.35,1,0.65,154
1,SA,188,Callington,111,30.92,248,69.08,359,98.63,5,1.37,364
1,SA,180,Cambrai,36,20.11,143,79.89,179,98.9,2,1.1,181
1,SA,190,Campbelltown,736,43.4,960,56.6,1696,98.6,24,1.4,1720
1,SA,180,Carpenter Rocks,15,14.71,87,85.29,102,100,0,0,102
1,SA,183,Ceduna,322,25.49,941,74.51,1263,99.37,8,0.63,1271
1,SA,183,Ceduna PPVC,0,0,0,0,0,0,0,0,0
1,SA,188,Charleston,155,36.56,269,63.44,424,99.07,4,0.93,428
1,SA,185,Cheltenham,696,47.93,756,52.07,1452,98.91,16,1.09,1468
1,SA,188,Cherry Gardens,228,44.71,282,55.29,510,98.84,6,1.16,516
1,SA,186,Christie Downs,422,34.23,811,65.77,1233,98.09,24,1.91,1257
1,SA,186,Christie Downs East,388,34.37,741,65.63,1129,98.6,16,1.4,1145
1,SA,186,Christies Beach,727,41.85,1010,58.15,1737,98.36,29,1.64,1766
1,SA,182,Clapham,770,59.37,527,40.63,1297,98.93,14,1.07,1311
1,SA,183,Clare,611,27.24,1632,72.76,2243,99.6,9,0.4,2252
1,SA,182,Clarence Park,446,56.96,337,43.04,783,98.37,13,1.63,796
1,SA,188,Clarendon,147,44.55,183,55.45,330,98.21,6,1.79,336
1,SA,179,Clearview,461,46.29,535,53.71,996,99.1,9,0.9,1005
1,SA,183,Cleve,88,15.12,494,84.88,582,99.49,3,0.51,585
1,SA,180,Cobdogla,90,18.52,396,81.48,486,99.18,4,0.82,490
1,SA,183,Coffin Bay,140,30.3,322,69.7,462,98.51,7,1.49,469
1,SA,182,Colonel Light Gardens,1033,61.31,652,38.69,1685,99.23,13,0.77,1698
1,SA,179,Colonel Light Gardens ADELAIDE PPVC,849,46.83,964,53.17,1813,99.29,13,0.71,1826
1,SA,182,Colonel Light Gardens BOOTHBY PPVC,4486,42.32,6114,57.68,10600,99.19,87,0.81,10687
1,SA,188,Colonel Light Gardens MAYO PPVC,345,44.69,427,55.31,772,99.61,3,0.39,775
1,SA,180,Compton,84,21.32,310,78.68,394,97.77,9,2.23,403
1,SA,183,Coober Pedy,125,23.54,406,76.46,531,98.7,7,1.3,538
1,SA,183,Coober Pedy PPVC,0,0,0,0,0,0,0,0,0
1,SA,183,Coobowie,40,21.16,149,78.84,189,99.47,1,0.53,190
1,SA,180,Coomandook,17,14.53,100,85.47,117,99.15,1,0.85,118
1,SA,180,Coonalpyn,23,12.78,157,87.22,180,100,0,0,180
1,SA,180,Coonawarra,47,28.66,117,71.34,164,100,0,0,164
1,SA,183,Corny Point,38,26.39,106,73.61,144,99.31,1,0.69,145
1,SA,188,Coromandel Valley,765,57.43,567,42.57,1332,98.89,15,1.11,1347
1,SA,179,Cowandilla (Adelaide),1259,50.54,1232,49.46,2491,98.42,40,1.58,2531
1,SA,185,Cowandilla (Hindmarsh),293,42.71,393,57.29,686,99.56,3,0.44,689
1,SA,183,Cowell,72,10.93,587,89.07,659,98.8,8,1.2,667
1,SA,188,Crafers,834,59.74,562,40.26,1396,99.01,14,0.99,1410
1,SA,325,Craigmore North,504,26.2,1420,73.8,1924,99.02,19,0.98,1943
1,SA,325,Craigmore South,546,23.77,1751,76.23,2297,99.14,20,0.86,2317
1,SA,179,Croydon,707,59.66,478,40.34,1185,98.67,16,1.33,1201
1,SA,179,Croydon Park,347,41.02,499,58.98,846,98.03,17,1.97,863
1,SA,183,Crystal Brook,176,22.36,611,77.64,787,98.75,10,1.25,797
1,SA,188,Cudlee Creek,43,26.88,117,73.13,160,98.16,3,1.84,163
1,SA,183,Cummins,92,14.09,561,85.91,653,99.39,4,0.61,657
1,SA,183,Curramulka,23,15.03,130,84.97,153,99.35,1,0.65,154
1,SA,188,Currency Creek,174,34.87,325,65.13,499,98.62,7,1.38,506
1,SA,183,Darke Peak,3,5.17,55,94.83,58,100,0,0,58
1,SA,325,Davoren Park,429,28.39,1082,71.61,1511,98.12,29,1.88,1540
1,SA,182,Daw Park,189,56.76,144,43.24,333,98.52,5,1.48,338
1,SA,188,Delamere,83,32.55,172,67.45,255,98.84,3,1.16,258
1,SA,190,Dernancourt,449,42.2,615,57.8,1064,98.98,11,1.02,1075
1,SA,325,Direk,460,27.54,1210,72.46,1670,98.7,22,1.3,1692
1,SA,183,Dublin,112,18.79,484,81.21,596,98.84,7,1.16,603
1,SA,190,Dulwich,464,54.85,382,45.15,846,99.41,5,0.59,851
1,SA,179,EAV Adelaide PPVC,0,0,0,0,0,0,0,0,0
1,SA,180,EAV Barker PPVC,0,0,0,0,0,0,0,0,0
1,SA,182,EAV Boothby PPVC,0,0,0,0,0,0,0,0,0
1,SA,183,EAV Grey PPVC,0,0,0,0,0,0,0,0,0
1,SA,185,EAV Hindmarsh PPVC,0,0,0,0,0,0,0,0,0
1,SA,186,EAV Kingston PPVC,0,0,0,0,0,0,0,0,0
1,SA,187,EAV Makin PPVC,0,0,0,0,0,0,0,0,0
1,SA,188,EAV Mayo PPVC,0,0,0,0,0,0,0,0,0
1,SA,325,EAV Spence PPVC,0,0,0,0,0,0,0,0,0
1,SA,190,EAV Sturt PPVC,0,0,0,0,0,0,0,0,0
1,SA,188,Echunga,330,42.09,454,57.91,784,98.99,8,1.01,792
1,SA,182,Eden Hills,671,67.91,317,32.09,988,98.8,12,1.2,1000
1,SA,180,Eden Valley,141,37.01,240,62.99,381,99.22,3,0.78,384
1,SA,183,Edithburgh,78,20.37,305,79.63,383,98.46,6,1.54,389
1,SA,182,Edwardstown,824,51.4,779,48.6,1603,98.46,25,1.54,1628
1,SA,325,Elizabeth,86,39.09,134,60.91,220,97.78,5,2.22,225
1,SA,325,Elizabeth Downs,452,28.39,1140,71.61,1592,98.51,24,1.49,1616
1,SA,325,Elizabeth East,426,29.98,995,70.02,1421,98.82,17,1.18,1438
1,SA,325,Elizabeth Grove,263,30.02,613,69.98,876,97.99,18,2.01,894
1,SA,187,Elizabeth MAKIN PPVC,200,27.62,524,72.38,724,98.64,10,1.36,734
1,SA,325,Elizabeth North,371,28.06,951,71.94,1322,98.29,23,1.71,1345
1,SA,325,Elizabeth Park,486,31.87,1039,68.13,1525,97.69,36,2.31,1561
1,SA,325,Elizabeth South,403,32.5,837,67.5,1240,98.26,22,1.74,1262
1,SA,325,Elizabeth SPENCE PPVC,2031,25.92,5804,74.08,7835,99.21,62,0.79,7897
1,SA,325,Elizabeth Vale,436,32.98,886,67.02,1322,98.44,21,1.56,1343
1,SA,183,Elliston,89,36.78,153,63.22,242,98.78,3,1.22,245
1,SA,179,Enfield,747,48.16,804,51.84,1551,98.23,28,1.77,1579
1,SA,179,Enfield PPVC,2692,39.53,4118,60.47,6810,99.05,65,0.95,6875
1,SA,183,Eudunda,94,16.43,478,83.57,572,98.79,7,1.21,579
1,SA,325,Evanston,376,29.7,890,70.3,1266,97.76,29,2.24,1295
1,SA,325,Evanston Gardens,439,29.7,1039,70.3,1478,99.39,9,0.61,1487
1,SA,325,Evanston South,427,38.89,671,61.11,1098,99.19,9,0.81,1107
1,SA,187,Fairview Park,467,35.43,851,64.57,1318,98.73,17,1.27,1335
1,SA,183,Farrell Flat,33,17.28,158,82.72,191,97.95,4,2.05,195
1,SA,190,Felixstow,382,52.11,351,47.89,733,99.32,5,0.68,738
1,SA,185,Findon,601,38.35,966,61.65,1567,98.55,23,1.45,1590
1,SA,185,Findon West,572,39.02,894,60.98,1466,98.72,19,1.28,1485
1,SA,186,Flagstaff Hill,1142,47.74,1250,52.26,2392,98.64,33,1.36,2425
1,SA,186,Flagstaff Hill East (Kingston),289,54.02,246,45.98,535,98.89,6,1.11,541
1,SA,188,Flagstaff Hill East (Mayo),224,59.26,154,40.74,378,98.18,7,1.82,385
1,SA,179,Flinders Park (Adelaide),235,42.81,314,57.19,549,98.92,6,1.08,555
1,SA,185,Flinders Park (Hindmarsh),645,39.33,995,60.67,1640,98.8,20,1.2,1660
1,SA,188,Forreston,73,30.04,170,69.96,243,99.18,2,0.82,245
1,SA,180,Frances,13,28.26,33,71.74,46,100,0,0,46
1,SA,180,Freeling,215,18.86,925,81.14,1140,99.22,9,0.78,1149
1,SA,185,Fulham,313,38.64,497,61.36,810,98.54,12,1.46,822
1,SA,185,Fulham Gardens,603,37.18,1019,62.82,1622,98.6,23,1.4,1645
1,SA,185,Fulham North,359,47.99,389,52.01,748,99.07,7,0.93,755
1,SA,179,Fullarton,502,62.59,300,37.41,802,99.38,5,0.62,807
1,SA,180,Furner,13,11.82,97,88.18,110,100,0,0,110
1,SA,325,Gawler,166,34.87,310,65.13,476,99.37,3,0.63,479
1,SA,180,Gawler BARKER PPVC,219,22.98,734,77.02,953,99.27,7,0.73,960
1,SA,325,Gawler East,520,29.36,1251,70.64,1771,98.55,26,1.45,1797
1,SA,183,Gawler GREY PPVC,209,17.4,992,82.6,1201,99.09,11,0.91,1212
1,SA,325,Gawler South,424,32.07,898,67.93,1322,98.22,24,1.78,1346
1,SA,325,Gawler SPENCE PPVC,1541,22.87,5198,77.13,6739,99.23,52,0.77,6791
1,SA,325,Gawler West,289,32.33,605,67.67,894,99,9,1,903
1,SA,183,Georgetown,31,20.81,118,79.19,149,99.33,1,0.67,150
1,SA,190,Gilles Plains,480,43.76,617,56.24,1097,98.3,19,1.7,1116
1,SA,183,Gladstone,92,22.6,315,77.4,407,99.27,3,0.73,410
1,SA,190,Glen Osmond,280,50.27,277,49.73,557,99.46,3,0.54,560
1,SA,180,Glenburnie,44,24.44,136,75.56,180,98.9,2,1.1,182
1,SA,180,Glencoe,54,19.35,225,80.65,279,99.64,1,0.36,280
1,SA,182,Glenelg,265,46.49,305,53.51,570,98.96,6,1.04,576
1,SA,179,Glenelg ADELAIDE PPVC,942,42.07,1297,57.93,2239,99.16,19,0.84,2258
1,SA,182,Glenelg BOOTHBY PPVC,2324,37.39,3891,62.61,6215,99.12,55,0.88,6270
1,SA,182,Glenelg Central,556,46.03,652,53.97,1208,97.97,25,2.03,1233
1,SA,182,Glenelg East,393,49.81,396,50.19,789,99.25,6,0.75,795
1,SA,185,Glenelg HINDMARSH PPVC,1005,34.34,1922,65.66,2927,98.89,33,1.11,2960
1,SA,182,Glenelg North (Boothby),647,45.47,776,54.53,1423,99.03,14,0.97,1437
1,SA,185,Glenelg North (Hindmarsh),195,49.74,197,50.26,392,98.99,4,1.01,396
1,SA,182,Glenelg South,795,49.66,806,50.34,1601,99.26,12,0.74,1613
1,SA,182,Glengowrie,839,48.47,892,51.53,1731,98.91,19,1.09,1750
1,SA,190,Glenunga,774,53.53,672,46.47,1446,98.77,18,1.23,1464
1,SA,180,Glossop,87,17.19,419,82.81,506,99.02,5,0.98,511
1,SA,190,Glynde,578,42.53,781,57.47,1359,98.05,27,1.95,1386
1,SA,187,Golden Grove,321,31.94,684,68.06,1005,99.31,7,0.69,1012
1,SA,187,Golden Grove Central,380,38.66,603,61.34,983,99.7,3,0.3,986
1,SA,187,Golden Grove East,552,37.65,914,62.35,1466,98.85,17,1.15,1483
1,SA,187,Golden Grove PPVC,2669,24.98,8016,75.02,10685,99.22,84,0.78,10769
1,SA,179,Goodwood,1248,67.53,600,32.47,1848,99.46,10,0.54,1858
1,SA,179,Goodwood Park,302,66.37,153,33.63,455,99.78,1,0.22,456
1,SA,188,Goolwa,490,38.16,794,61.84,1284,98.54,19,1.46,1303
1,SA,188,Goolwa Central,391,40.06,585,59.94,976,99.39,6,0.61,982
1,SA,188,Goolwa PPVC,1180,29.19,2862,70.81,4042,99.12,36,0.88,4078
1,SA,185,Grange,943,48.19,1014,51.81,1957,98.94,21,1.06,1978
1,SA,185,Grange Beach,242,47.27,270,52.73,512,99.03,5,0.97,517
1,SA,179,Greenacres,758,46.3,879,53.7,1637,98.85,19,1.15,1656
1,SA,180,Greenock,229,32.48,476,67.52,705,98.88,8,1.12,713
1,SA,187,Greenwith West,793,34.17,1528,65.83,2321,98.64,32,1.36,2353
1,SA,188,Gumeracha,214,40.23,318,59.77,532,97.97,11,2.03,543
1,SA,186,Hackham East,708,36.07,1255,63.93,1963,98.3,34,1.7,1997
1,SA,186,Hackham West,402,36.65,695,63.35,1097,97.86,24,2.14,1121
1,SA,188,Hahndorf,534,43.52,693,56.48,1227,98.63,17,1.37,1244
1,SA,183,Hallett,22,18.49,97,81.51,119,100,0,0,119
1,SA,186,Hallett Cove,407,43.76,523,56.24,930,99.04,9,0.96,939
1,SA,186,Hallett Cove Central,536,41.49,756,58.51,1292,98.7,17,1.3,1309
1,SA,186,Hallett Cove East,580,43.06,767,56.94,1347,98.68,18,1.32,1365
1,SA,186,Hallett Cove PPVC,2017,29.97,4713,70.03,6730,99.32,46,0.68,6776
1,SA,186,Hallett Cove South,349,42.3,476,57.7,825,98.68,11,1.32,836
1,SA,183,Hamley Bridge,124,26.22,349,73.78,473,98.95,5,1.05,478
1,SA,186,Happy Valley,668,42.07,920,57.93,1588,99,16,1,1604
1,SA,186,Happy Valley West,742,43.8,952,56.2,1694,98.6,24,1.4,1718
1,SA,183,Hardwicke Bay,29,25,87,75,116,99.15,1,0.85,117
1,SA,183,Hawker,56,31.82,120,68.18,176,99.44,1,0.56,177
1,SA,182,Hawthorn West,906,56.41,700,43.59,1606,98.77,20,1.23,1626
1,SA,188,Hawthorndene,903,63.37,522,36.63,1425,99.16,12,0.84,1437
1,SA,190,Hectorville,572,39.5,876,60.5,1448,98.91,16,1.09,1464
1,SA,185,Henley Beach,578,51.93,535,48.07,1113,98.76,14,1.24,1127
1,SA,185,Henley South,591,48.88,618,51.12,1209,98.94,13,1.06,1222
1,SA,325,Hewett,459,31.48,999,68.52,1458,99.39,9,0.61,1467
1,SA,190,Highbury East,433,39.76,656,60.24,1089,99.36,7,0.64,1096
1,SA,190,Highbury South,669,39.12,1041,60.88,1710,98.79,21,1.21,1731
1,SA,190,Highbury West,322,45.29,389,54.71,711,99.03,7,0.97,718
1,SA,325,Hillbank,460,33.36,919,66.64,1379,98.78,17,1.22,1396
1,SA,190,Holden Hill,534,40.36,789,59.64,1323,98.73,17,1.27,1340
1,SA,188,Houghton,128,37.21,216,62.79,344,99.14,3,0.86,347
1,SA,186,Huntfield Heights,356,34.83,666,65.17,1022,98.08,20,1.92,1042
1,SA,187,Ingle Farm,560,36.27,984,63.73,1544,97.72,36,2.28,1580
1,SA,187,Ingle Farm North,291,36.65,503,63.35,794,98.15,15,1.85,809
1,SA,183,Iron Knob,19,25.68,55,74.32,74,96.1,3,3.9,77
1,SA,183,Jamestown,162,15.31,896,84.69,1058,99.53,5,0.47,1063
1,SA,180,Jervois,21,13.73,132,86.27,153,98.08,3,1.92,156
